fasta_id,best_hit_id
sp|E9Q9W4|S27A6_MOUSE,5T3D_A
sp|F6ULY1|WFC6B_MOUSE,5H7V_A
sp|G3XA59|LRC32_MOUSE,6GFF_I
sp|G5E8K6|MOT6_MOUSE,7CKO_A
sp|G5E8Q8|AGRF5_MOUSE,7D76_R
sp|O08585|CLCA_MOUSE,6WCJ_B
sp|O08674|RBPJL_MOUSE,3IAG_C
sp|O08811|ERCC2_MOUSE,7O4J_0
sp|O08850|RGS5_MOUSE,1AGR_E
sp|O08901|BUB1_MOUSE,6TLJ_S
sp|O08983|HPS1_MOUSE,7QLA_A
sp|O09043|NAPSA_MOUSE,4AMT_A
sp|O09131|GSTO1_MOUSE,5YVN_A
sp|O35089|CNIH2_MOUSE,7LEP_E
sp|O35242|FAN_MOUSE,1T77_B
sp|O35305|TNR11_MOUSE,5BNQ_R
sp|O35347|DGCR6_MOUSE,6I2O_A
sp|O35372|CNIH1_MOUSE,7LEP_E
sp|O35495|CDK14_MOUSE,3N9X_A
sp|O35516|NOTC2_MOUSE,2OO4_A
sp|O35674|ADA19_MOUSE,5Y31_C
sp|O35690|PHX2B_MOUSE,6YOV_K
sp|O35698|RBMY_MOUSE,7DVQ_4
sp|O35714|TNR18_MOUSE,7RFP_A
sp|O35912|EMP3_MOUSE,6OV2_A
sp|O35980|NTH_MOUSE,7RDS_A
sp|O35988|SDC4_MOUSE,6ITH_A
sp|O54709|NKG2D_MOUSE,6INN_A
sp|O54891|LEG6_MOUSE,4HAN_A
sp|O54910|IKBE_MOUSE,6PW5_D
sp|O54917|E2F6_MOUSE,5TUU_B
sp|O54926|SIVA_MOUSE,6X68_C
sp|O54946|DNJB6_MOUSE,6U3S_A
sp|O54957|LAT_MOUSE,6UIW_J
sp|O55017|CAC1B_MOUSE,7MIY_A
sp|O55033|NCK2_MOUSE,2H8H_A
sp|O55125|NIPS1_MOUSE,5K9F_A
sp|O55189|AMBN_MOUSE,6TLB_C
sp|O55242|SGMR1_MOUSE,6DJZ_B
sp|O70137|ALX3_MOUSE,6T90_K
sp|O70252|HMOX2_MOUSE,2RGZ_B
sp|O70258|SGCE_MOUSE,6SEQ_A
sp|O70279|ESS2_MOUSE,6SGB_Fb
sp|O70310|NMT1_MOUSE,1RXT_C
sp|O70311|NMT2_MOUSE,1RXT_C
sp|O70333|CRIPT_MOUSE,7DVQ_0
sp|O70342|NPY5R_MOUSE,7BR3_A
sp|O70374|MTG8R_MOUSE,2KNH_A
sp|O70422|TF2H4_MOUSE,7O4J_2
sp|O70496|CLCN7_MOUSE,7CQ5_D
sp|O70561|SPR2J_MOUSE,3TXS_A
sp|O70584|NKX28_MOUSE,6YOV_K
sp|O88196|TTC3_MOUSE,5YZG_s
sp|O88322|NID2_MOUSE,1GL4_A
sp|O88324|CD83_MOUSE,5JK9_D
sp|O88427|CAC1H_MOUSE,6KZP_A
sp|O88430|CCL22_MOUSE,2RA4_A
sp|O88451|RDH7_MOUSE,1FDV_C
sp|O88502|PDE8A_MOUSE,4WZI_B
sp|O88516|DLL3_MOUSE,4XBM_B
sp|O88522|NEMO_MOUSE,3CL3_E
sp|O88796|RPP30_MOUSE,6AHU_J
sp|O88803|LECT2_MOUSE,5B0H_A
sp|O88866|HUNK_MOUSE,5NCL_A
sp|O88870|BEST1_MOUSE,6VX9_A
sp|O88875|BY55_MOUSE,7MSG_F
sp|O88951|LIN7B_MOUSE,3UIT_D
sp|O88952|LIN7C_MOUSE,3UIT_D
sp|P00397|COX1_MOUSE,7N9Z_F
sp|P00860|DCOR_MOUSE,7ODC_A
sp|P01592|IGJ_MOUSE,6LXW_J
sp|P01629|KV2A4_MOUSE,4OJE_H
sp|P01649|KV5AG_MOUSE,4OJE_H
sp|P01669|KV3AH_MOUSE,4OJE_H
sp|P01729|LV2B_MOUSE,3N44_F
sp|P01734|TVB1_MOUSE,7A5V_O
sp|P01741|HVM00_MOUSE,5WTS_A
sp|P01748|HVM04_MOUSE,3N44_F
sp|P01800|HVM31_MOUSE,3N44_F
sp|P01831|THY1_MOUSE,5WB2_A
sp|P01872|IGHM_MOUSE,2QTJ_C
sp|P01882|IGHDM_MOUSE,3S6C_A
sp|P02340|P53_MOUSE,6XRE_M
sp|P02525|CRBA1_MOUSE,3LWK_A
sp|P02535|K1C10_MOUSE,7DL2_D
sp|P02772|FETA_MOUSE,3CX9_A
sp|P04184|KITH_MOUSE,2ORV_A
sp|P04342|CRGD_MOUSE,4GR7_A
sp|P04351|IL2_MOUSE,7M2G_A
sp|P04426|WNT1_MOUSE,7DRT_A
sp|P04627|ARAF_MOUSE,7MFD_A
sp|P04919|B3AT_MOUSE,4YZF_B
sp|P05201|AATC_MOUSE,3K7Y_A
sp|P05208|CEL2A_MOUSE,2B9L_A
sp|P05366|SAA1_MOUSE,6PXZ_B
sp|P05622|PGFRB_MOUSE,5K5X_A
sp|P06320|TVB7_MOUSE,7A5V_O
sp|P06339|HA15_MOUSE,1S7Q_A
sp|P06837|NEUM_MOUSE,7JU4_x
sp|P07310|KCRM_MOUSE,4V7N_AG
sp|P07978|PRM2_MOUSE,3EKG_B
sp|P09450|JUNB_MOUSE,1JUN_B
sp|P09470|ACE_MOUSE,6M17_D
sp|P09586|PR3B1_MOUSE,1F6F_A
sp|P0C1P0|PIGY_MOUSE,6EZN_H
sp|P0C5K1|SBK2_MOUSE,6BHC_A
sp|P0C6B2|PTCRA_MOUSE,3OF6_E
sp|P0DJE0|PT100_MOUSE,6XP5_I
sp|P0DJF2|PT117_MOUSE,6LTJ_N
sp|P0DP28|CALM3_MOUSE,7M2U_E
sp|P0DPB4|SCHI1_MOUSE,7N9F_z
sp|P0DW86|TM276_MOUSE,6VJA_D
sp|P10605|CATB_MOUSE,3PBH_A
sp|P10630|IF4A2_MOUSE,6QX9_5X
sp|P10639|THIO_MOUSE,6TMG_F
sp|P10925|ZFY1_MOUSE,6QNX_C
sp|P12246|SAMP_MOUSE,6V55_A
sp|P12382|PFKAL_MOUSE,3OPY_A
sp|P13372|VPB1A_MOUSE,5WTS_A
sp|P13542|MYH8_MOUSE,6FSA_B
sp|P13562|GON1_MOUSE,7NHP_1
sp|P13675|SSTY1_MOUSE,2NS2_B
sp|P13705|MSH3_MOUSE,3THX_B
sp|P14220|GLPA_MOUSE,2KPF_B
sp|P14246|GTR2_MOUSE,5C65_A
sp|P14404|MECOM_MOUSE,6QNX_C
sp|P14824|ANXA6_MOUSE,1M9I_A
sp|P15066|JUND_MOUSE,1JUN_B
sp|P15209|NTRK2_MOUSE,6JK8_B
sp|P15620|ZN271_MOUSE,6QNX_C
sp|P15626|GSTM2_MOUSE,4AKG_A
sp|P16056|MET_MOUSE,7MOB_D
sp|P16372|ZFP58_MOUSE,6QNX_C
sp|P16373|ZFP59_MOUSE,6QNX_C
sp|P16381|DDX3L_MOUSE,6O5F_A
sp|P16382|IL4RA_MOUSE,5J11_C
sp|P16879|FES_MOUSE,3CBL_A
sp|P16951|ATF2_MOUSE,1HJB_D
sp|P17563|SBP1_MOUSE,2ECE_A
sp|P17919|HXB1_MOUSE,6YOV_K
sp|P18572|BASI_MOUSE,7CKO_B
sp|P18893|IL10_MOUSE,1ILK_A
sp|P19221|THRB_MOUSE,6BJR_A
sp|P19473|TUR8_MOUSE,4FP9_B
sp|P19973|LSP1_MOUSE,4EYW_B
sp|P20065|TYB4_MOUSE,4PL7_B
sp|P20263|PO5F1_MOUSE,6T90_K
sp|P20489|FCERA_MOUSE,5D6D_C
sp|P20826|SCF_MOUSE,1SCF_B
sp|P21570|ANGI_MOUSE,2J4T_A
sp|P21803|FGFR2_MOUSE,6V6Q_A
sp|P21995|EMB_MOUSE,7CKO_B
sp|P22339|GA45B_MOUSE,2WAL_A
sp|P22561|WT1_MOUSE,6QNX_C
sp|P22726|WNT5B_MOUSE,7DRT_A
sp|P22892|AP1G1_MOUSE,6OWT_A
sp|P23242|CXA1_MOUSE,7JJP_D
sp|P23813|HXD11_MOUSE,6T90_K
sp|P23949|TISD_MOUSE,4TXA_A
sp|P24452|CAPG_MOUSE,1D0N_A
sp|P24721|ASGR2_MOUSE,6INN_A
sp|P25206|MCM3_MOUSE,6RAX_3
sp|P25425|PO2F1_MOUSE,6T90_K
sp|P26043|RADI_MOUSE,4RM9_A
sp|P26048|GBRA2_MOUSE,6HUJ_A
sp|P26262|KLKB1_MOUSE,6I44_A
sp|P26369|U2AF2_MOUSE,3VF0_B
sp|P26450|P85A_MOUSE,5M6U_B
sp|P26516|PSMD7_MOUSE,6EPF_U
sp|P27467|WNT3A_MOUSE,7DRT_A
sp|P27664|PDE6A_MOUSE,6MZB_A
sp|P28311|DEFA4_MOUSE,7RC7_A
sp|P28359|HXD10_MOUSE,6T90_K
sp|P28474|ADHX_MOUSE,1MP0_A
sp|P28649|CP19A_MOUSE,5JL7_A
sp|P28656|NP1L1_MOUSE,2AYU_A
sp|P28667|MRP_MOUSE,1GZS_B
sp|P28705|RXRG_MOUSE,3E00_A
sp|P29121|PCSK4_MOUSE,7LCU_A
sp|P30412|PPIC_MOUSE,5YZG_3
sp|P30416|FKBP4_MOUSE,5OMP_A
sp|P30873|SSR1_MOUSE,7BR3_A
sp|P30935|SSR3_MOUSE,7BR3_A
sp|P32067|LA_MOUSE,7LMB_H
sp|P33033|MC3R_MOUSE,7F4F_R
sp|P33534|OPRK_MOUSE,4DJH_B
sp|P33587|PROC_MOUSE,4BXW_B
sp|P34927|ASGR1_MOUSE,6INN_A
sp|P35173|CYT3_MOUSE,6QB2_A
sp|P35438|NMDZ1_MOUSE,6WHV_A
sp|P35455|NEU2_MOUSE,2LBH_B
sp|P35569|IRS1_MOUSE,1QQG_B
sp|P35700|PRDX1_MOUSE,3TB2_D
sp|P35922|FMR1_MOUSE,4OVA_D
sp|P36368|EGFB2_MOUSE,1AO5_A
sp|P36371|TAP2_MOUSE,5U1D_B
sp|P37172|ACVR1_MOUSE,6SRH_A
sp|P37217|CD69_MOUSE,5T1D_C
sp|P37238|PPARG_MOUSE,3E00_D
sp|P40226|TPO_MOUSE,1V7N_Z
sp|P41233|ABCA1_MOUSE,7E7I_A
sp|P41274|TNFL9_MOUSE,6MKZ_A
sp|P41778|PBX1_MOUSE,4EGC_A
sp|P42567|EPS15_MOUSE,4CID_A
sp|P42580|NKX12_MOUSE,6YOV_K
sp|P42925|PXMP2_MOUSE,3VEJ_B
sp|P42932|TCPQ_MOUSE,6QB8_Q
sp|P43024|CX6A1_MOUSE,2Y69_T
sp|P43252|PI2R_MOUSE,7CX2_R
sp|P43488|TNFL4_MOUSE,2HEY_F
sp|P43680|SOX18_MOUSE,6UPL_H
sp|P46684|ZIC1_MOUSE,6QNX_C
sp|P47774|CCR7_MOUSE,5T1A_A
sp|P47857|PFKAM_MOUSE,3OPY_A
sp|P48026|SAT1_MOUSE,2B5G_B
sp|P48168|GLRB_MOUSE,7KUY_E
sp|P48193|EPB41_MOUSE,6D21_A
sp|P48725|PCNT_MOUSE,7DL2_D
sp|P49312|ROA1_MOUSE,7PY2_C
sp|P49764|PLGF_MOUSE,1FZV_A
sp|P49772|FLT3L_MOUSE,7QWS_O
sp|P49935|CATH_MOUSE,6CZS_A
sp|P50114|S100B_MOUSE,6ZDY_A
sp|P50136|ODBA_MOUSE,2BFF_A
sp|P50712|DFA14_MOUSE,1ZMQ_C
sp|P50715|DFA31_MOUSE,5IJL_A
sp|P50992|ATP4B_MOUSE,6JXJ_B
sp|P51432|PLCB3_MOUSE,4GNK_D
sp|P51437|CAMP_MOUSE,1N5H_A
sp|P51680|CCR4_MOUSE,5T1A_A
sp|P51960|MYBA_MOUSE,6ID1_L
sp|P52785|GUC2E_MOUSE,4KIK_B
sp|P53347|ONCM_MOUSE,1EVS_A
sp|P53349|M3K1_MOUSE,6WHB_A
sp|P53569|CEBPZ_MOUSE,6RXU_US
sp|P53612|PGTB2_MOUSE,4YDO_B
sp|P53784|SOX3_MOUSE,6LTJ_Q
sp|P53808|PPCT_MOUSE,1LN3_B
sp|P53811|PIPNB_MOUSE,2A1L_A
sp|P54923|ADPRH_MOUSE,6IUX_A
sp|P56387|DYLT3_MOUSE,5VKY_A
sp|P56473|AGRP_MOUSE,1HYK_A
sp|P56840|TCLB1_MOUSE,1JNP_B
sp|P56931|E2F2_MOUSE,5TUU_B
sp|P58196|PLS4_MOUSE,2Q4M_A
sp|P58406|HRH3_MOUSE,5ZTY_A
sp|P58463|FOXP2_MOUSE,4I1L_A
sp|P58681|TLR7_MOUSE,7CYN_A
sp|P58735|S26A1_MOUSE,7CH1_B
sp|P60322|NANO2_MOUSE,3ALR_C
sp|P61148|FGF1_MOUSE,6L4O_B
sp|P61957|SUMO2_MOUSE,4DA1_A
sp|P62069|UBP46_MOUSE,5L8H_A
sp|P62080|TSN5_MOUSE,6WVG_B
sp|P62259|1433E_MOUSE,4F7R_A
sp|P62500|T22D1_MOUSE,1DIP_A
sp|P62835|RAP1A_MOUSE,3REG_A
sp|P62918|RL8_MOUSE,5UMD_D
sp|P62962|PROF1_MOUSE,4QWO_B
sp|P62984|RL40_MOUSE,6ZU5_LMM
sp|P63005|LIS1_MOUSE,1VYH_C
sp|P63082|VATL_MOUSE,6O7U_o
sp|P63115|AAA1_MOUSE,7B00_A
sp|P63242|IF5A1_MOUSE,1XTD_A
sp|P70188|KIFA3_MOUSE,7RRO_H9
sp|P70218|M4K1_MOUSE,5J5T_A
sp|P70268|PKN1_MOUSE,4OTH_A
sp|P70274|SEPP1_MOUSE,6E0F_C
sp|P70279|SURF6_MOUSE,6C0F_8
sp|P70280|VAMP7_MOUSE,4B93_A
sp|P70310|NTR2_MOUSE,4GRV_A
sp|P70368|SEBOX_MOUSE,6T90_K
sp|P70378|FGF11_MOUSE,4JQ0_A
sp|P70380|IL18_MOUSE,2VXT_I
sp|P70406|UCP2_MOUSE,2LCK_A
sp|P70408|CAD10_MOUSE,1Q5C_B
sp|P70419|GALT3_MOUSE,6S24_A
sp|P82349|SGCB_MOUSE,7KAM_G
sp|P82976|GBX1_MOUSE,6T90_K
sp|P83555|KI3L1_MOUSE,3VH8_G
sp|P83714|CTF2_MOUSE,2Q7N_D
sp|P83741|WNK1_MOUSE,5O2C_A
sp|P83917|CBX1_MOUSE,3P7J_B
sp|P83940|ELOC_MOUSE,6R7F_Q
sp|P84078|ARF1_MOUSE,5CK3_B
sp|P84086|CPLX2_MOUSE,3RK3_E
sp|P84751|HVM63_MOUSE,1IGT_B
sp|P97325|SIAT6_MOUSE,6APL_C
sp|P97367|MEIS2_MOUSE,2LK2_A
sp|P97384|ANX11_MOUSE,1M9I_A
sp|P97401|SFRP3_MOUSE,5XGP_A
sp|P97412|LYST_MOUSE,1T77_B
sp|P97493|THIOM_MOUSE,3QDN_A
sp|P97504|BMX_MOUSE,4XI2_A
sp|P97793|ALK_MOUSE,7NX4_A
sp|P97801|SMN_MOUSE,4V98_Bk
sp|P97805|FAM3D_MOUSE,5LC2_B
sp|P97807|FUMH_MOUSE,3GTD_B
sp|P97858|S35B1_MOUSE,5OGE_G
sp|P97926|OXYR_MOUSE,7RYC_O
sp|P97927|LAMA4_MOUSE,5XAU_A
sp|P97931|UNG_MOUSE,5X55_B
sp|P98156|VLDLR_MOUSE,3M0C_C
sp|Q00609|CD80_MOUSE,1I8L_A
sp|Q01887|RYK_MOUSE,6TUA_A
sp|Q02788|CO6A2_MOUSE,3HR2_B
sp|Q03137|EPHA4_MOUSE,4M4R_E
sp|Q03141|MARK3_MOUSE,6C9D_A
sp|Q03249|GALT_MOUSE,6GQD_A
sp|Q03366|CCL7_MOUSE,6N2U_A
sp|Q03385|GNDS_MOUSE,5CM8_A
sp|Q04742|EMX1_MOUSE,6T90_K
sp|Q04887|SOX9_MOUSE,6UPL_H
sp|Q04997|INHA_MOUSE,5NTU_B
sp|Q05AA6|DRP2_MOUSE,1EG4_A
sp|Q08943|SSRP1_MOUSE,6UPL_H
sp|Q0EEE2|PTHD3_MOUSE,6N7K_D
sp|Q0GA42|CNNM1_MOUSE,6N7E_D
sp|Q0II04|NEBL_MOUSE,5YMA_A
sp|Q0KK56|F184B_MOUSE,7DL2_D
sp|Q0VBD0|ITB8_MOUSE,6UJA_B
sp|Q0VBF8|STUM_MOUSE,7P5C_B
sp|Q0VDT2|ZN367_MOUSE,6QNX_C
sp|Q0VGT2|GLI2_MOUSE,6QNX_C
sp|Q0VGT4|ZGRF1_MOUSE,2XZL_A
sp|Q11131|FUT7_MOUSE,5ZOI_A
sp|Q14B02|RN133_MOUSE,3ICU_A
sp|Q14B25|PRS48_MOUSE,4F4O_L
sp|Q14BK3|TEX35_MOUSE,7PER_H
sp|Q14C37|LEMD1_MOUSE,7NDY_G
sp|Q1H9T6|ZBT48_MOUSE,6QNX_C
sp|Q2TA51|KRA55_MOUSE,6PPC_A
sp|Q2TBA3|MALT1_MOUSE,6F7I_B
sp|Q2WG76|RIPP2_MOUSE,4R4H_A
sp|Q32KI9|ARSI_MOUSE,1FSU_A
sp|Q32LZ8|PLPL5_MOUSE,4QMK_A
sp|Q32M08|DUS4L_MOUSE,6EZA_A
sp|Q32NZ6|TMC5_MOUSE,6QM5_A
sp|Q3KNM2|MARH5_MOUSE,2M6M_A
sp|Q3KQP7|SPO16_MOUSE,2M9M_A
sp|Q3SXC5|ARL14_MOUSE,5CK3_B
sp|Q3TBN1|TM248_MOUSE,6ULG_N
sp|Q3TCJ1|ABRX2_MOUSE,6H3C_A
sp|Q3TCV3|GSAP_MOUSE,7NRC_A
sp|Q3THJ3|EIF1A_MOUSE,6ZXG_j
sp|Q3TIR1|TPC13_MOUSE,7EA3_X
sp|Q3TIR3|RIC8A_MOUSE,6N85_B
sp|Q3TKY6|CWC27_MOUSE,7DVQ_z
sp|Q3TL54|TR43A_MOUSE,4CFG_B
sp|Q3TNL8|IPRI_MOUSE,4WOY_A
sp|Q3TNU4|YD021_MOUSE,4WF2_A
sp|Q3TRM4|PLPL6_MOUSE,4AKF_A
sp|Q3TTA7|CBLB_MOUSE,3VRP_A
sp|Q3TYX2|LRN4L_MOUSE,6JK8_B
sp|Q3TZX3|S2533_MOUSE,6GCI_A
sp|Q3U0K8|OGFD1_MOUSE,4NHY_D
sp|Q3U1Y4|DEN4B_MOUSE,3TW8_C
sp|Q3U319|BRE1B_MOUSE,6ID1_q
sp|Q3U3N6|AP4AT_MOUSE,7DMF_A
sp|Q3U4G0|CDIN1_MOUSE,7NRC_A
sp|Q3U5C7|PRIC1_MOUSE,7AM2_Ax
sp|Q3U5C8|ARHGG_MOUSE,7CSO_C
sp|Q3U9G9|LBR_MOUSE,4QUV_B
sp|Q3UA16|SPC25_MOUSE,2VE7_B
sp|Q3UES3|TNKS2_MOUSE,4CJ9_B
sp|Q3UFD7|FFAR3_MOUSE,5ZKP_A
sp|Q3UG98|NAT9_MOUSE,5O7O_C
sp|Q3UI43|BABA1_MOUSE,6GVW_I
sp|Q3UJ81|NEPR1_MOUSE,6UZY_F
sp|Q3ULB5|PAK6_MOUSE,5UPL_A
sp|Q3UM45|PP1R7_MOUSE,6HKW_D
sp|Q3UMB9|WASC4_MOUSE,4N78_A
sp|Q3UMC0|AFG2A_MOUSE,7NKU_C
sp|Q3UNZ8|QORL2_MOUSE,2VZ9_B
sp|Q3UP24|NLRC4_MOUSE,4KXF_H
sp|Q3UQ28|PXDN_MOUSE,5MFA_A
sp|Q3UQ84|SYTM_MOUSE,6VU9_A
sp|Q3UQV5|KBTB8_MOUSE,6WCQ_C
sp|Q3UR97|SNX21_MOUSE,4YMR_A
sp|Q3URF8|KCD21_MOUSE,6S4L_E
sp|Q3URQ0|TEX10_MOUSE,6YLH_K
sp|Q3URS9|MITOK_MOUSE,7N9F_z
sp|Q3US41|ESRP1_MOUSE,6ASO_A
sp|Q3USJ8|FCSD2_MOUSE,5I6R_A
sp|Q3USY0|S38AB_MOUSE,7KGV_B
sp|Q3USZ2|UBFL1_MOUSE,6LTJ_Q
sp|Q3UTQ8|CDKL5_MOUSE,6QX9_K
sp|Q3UU67|TRAT1_MOUSE,5VU2_T
sp|Q3UUI3|THEM4_MOUSE,4GAH_B
sp|Q3UUV5|SKAP1_MOUSE,1U5E_B
sp|Q3UX62|ODAD1_MOUSE,7RRO_H3
sp|Q3V0F0|RIMB3_MOUSE,2CSP_A
sp|Q3V0J1|TM237_MOUSE,6RWX_x
sp|Q3V0M2|LRC36_MOUSE,4WWU_H
sp|Q3V3K7|GCNT7_MOUSE,2GAK_B
sp|Q3V3R1|C1TM_MOUSE,5A4J_D
sp|Q497K7|TM247_MOUSE,6VK0_D
sp|Q497M3|ABEC4_MOUSE,6X91_A
sp|Q49B93|SC5AC_MOUSE,7SL9_A
sp|Q4LFA9|SEM3G_MOUSE,4GZ8_B
sp|Q4V9Z5|SE6L2_MOUSE,2Q7Z_A
sp|Q504P2|CL12A_MOUSE,6C5V_C
sp|Q52KR3|PRUN2_MOUSE,2QB8_A
sp|Q566J8|COQ8B_MOUSE,4PED_A
sp|Q569E4|MENT_MOUSE,7NYD_C
sp|Q58FA4|E2F8_MOUSE,4YO2_A
sp|Q5BN45|PIRC1_MOUSE,7RRO_z
sp|Q5DP50|TEX24_MOUSE,7SX3_E
sp|Q5DU31|ICEF1_MOUSE,7NH5_A
sp|Q5EBI0|S2610_MOUSE,7CH1_B
sp|Q5EE38|ACD_MOUSE,7QXA_O
sp|Q5F204|MDH1B_MOUSE,7MDH_C
sp|Q5FW53|MBPHL_MOUSE,2RIK_A
sp|Q5FWK3|RHG01_MOUSE,6R3V_A
sp|Q5GIG6|TNI3K_MOUSE,4OAV_B
sp|Q5H8B9|FREM3_MOUSE,7ML7_B
sp|Q5M8M9|LRC52_MOUSE,3WN4_A
sp|Q5PR73|DIRA2_MOUSE,2GF0_B
sp|Q5PT53|NTCP7_MOUSE,4N7W_B
sp|Q5QNV8|HEAT9_MOUSE,4P6Z_G
sp|Q5RJB0|BHA09_MOUSE,4AYA_B
sp|Q5RJH2|MCTP2_MOUSE,5IZ5_A
sp|Q5SRX1|TM1L2_MOUSE,1ELK_B
sp|Q5SSM3|RHG44_MOUSE,1XA6_A
sp|Q5SX39|MYH4_MOUSE,6FSA_B
sp|Q5SXG7|VMO1_MOUSE,1VMO_B
sp|Q5SXY1|CYTSB_MOUSE,6ICI_A
sp|Q5SYD0|MYO1D_MOUSE,7KOG_A
sp|Q5U405|TMPSD_MOUSE,7MEQ_A
sp|Q5UKY4|MO2R3_MOUSE,4BFE_B
sp|Q5XFZ0|CR021_MOUSE,7C7A_K
sp|Q5XG73|ACBD5_MOUSE,3FLV_B
sp|Q5Y5T3|ZDH23_MOUSE,6BMS_D
sp|Q60597|ODO1_MOUSE,6VEF_A
sp|Q60629|EPHA5_MOUSE,3FL7_A
sp|Q60668|HNRPD_MOUSE,7DVQ_4
sp|Q60675|LAMA2_MOUSE,4AQS_A
sp|Q60687|FSHB_MOUSE,1QFW_B
sp|Q60688|FOXD4_MOUSE,6FEC_w
sp|Q60748|CRFR2_MOUSE,5YQZ_R
sp|Q60841|RELN_MOUSE,2E26_A
sp|Q60864|STIP1_MOUSE,7KW7_E
sp|Q60876|4EBP1_MOUSE,6BCX_X
sp|Q60887|O10N1_MOUSE,7BVQ_B
sp|Q60929|MEF2A_MOUSE,6BZ1_B
sp|Q60936|COQ8A_MOUSE,4PED_A
sp|Q60948|MAD4_MOUSE,7F2F_B
sp|Q60952|CP250_MOUSE,6Z47_G
sp|Q60961|LAP4A_MOUSE,6PQP_C
sp|Q60980|KLF3_MOUSE,6QNX_C
sp|Q61068|U17PA_MOUSE,6TBM_Q
sp|Q61080|FOXF1_MOUSE,6FEC_w
sp|Q61083|M3K2_MOUSE,5NCL_A
sp|Q61098|IL18R_MOUSE,3WO4_B
sp|Q61107|GBP3_MOUSE,1F5N_A
sp|Q61116|ZN235_MOUSE,6QNX_C
sp|Q61176|ARGI1_MOUSE,3SL1_A
sp|Q61180|SCNNA_MOUSE,6WTH_A
sp|Q61194|P3C2A_MOUSE,7BI2_A
sp|Q61211|EIF2D_MOUSE,5OA3_0
sp|Q61220|NELL2_MOUSE,6POG_B
sp|Q61542|STAR3_MOUSE,1EM2_A
sp|Q61553|FSCN1_MOUSE,6B0T_B
sp|Q61559|FCGRN_MOUSE,6FGB_A
