query_id,best_hit,best_evalue,best_score,score_mean,score_std,score_gmean
sp|A2A5E6|Z385C_MOUSE,6LSR_0,0.039,54.98,nan,nan,nan
sp|A2A5N3|PAP1L_MOUSE,6R5K_H,1.9e-83,592.13,93.99,55.11,83.74
sp|A2A5N8|LMBL1_MOUSE,2RHU_A,3e-60,420.69,322.04,97.05,303.22
sp|A2A690|TANC2_MOUSE,7PTY_B,1.3e-27,288.4,185.26,39.76,181.21
sp|A2A7Q9|RN19B_MOUSE,4KBL_A,1.4e-27,233.61,163.74,59.53,148.88
sp|A2A825|CPLN2_MOUSE,6VP8_A,2.1e-07,85.93,67.23,6.20,66.94
sp|A2A884|ZEP3_MOUSE,6QNX_C,5.7e-05,91.37,64.40,3.34,64.32
sp|A2A8T7|TEX38_MOUSE,6BSD_A,16.0,32.84,nan,nan,nan
sp|A2A8U2|TM201_MOUSE,6WJV_A,17.0,45.58,nan,nan,nan
sp|A2A935|PRD16_MOUSE,6QNX_C,5.8e-34,313.14,92.57,38.85,86.21
sp|A2A9A2|DMTA2_MOUSE,4YJ0_C,1.1e-14,95.16,86.03,12.92,84.98
sp|A2A9G7|SHL2A_MOUSE,5M0W_A,1.7e-06,57.96,57.96,0.00,57.96
sp|A2A9I7|DMRTB_MOUSE,4YJ0_C,1e-12,81.87,77.58,6.07,77.33
sp|A2AAJ9|OBSCN_MOUSE,3B43_A,1.5e-27,262.5,197.86,16.36,197.21
sp|A2AAY5|SPD2B_MOUSE,2DYB_B,1e-15,133.04,75.79,19.91,73.75
sp|A2ABU4|MYOM3_MOUSE,2JTD_A,3.5e-33,267.81,114.08,33.39,110.20
sp|A2AD83|FRMD7_MOUSE,6D21_A,1.5e-48,337.03,155.46,49.92,148.38
sp|A2ADF7|S2534_MOUSE,6GCI_A,2e-33,221.79,192.58,18.74,191.68
sp|A2ADY9|DDI2_MOUSE,5KES_A,9.2e-17,130.95,83.44,21.12,81.11
sp|A2AEY4|MA7D3_MOUSE,7EGG_D,23.0,44.43,nan,nan,nan
sp|A2AF53|T185A_MOUSE,6B3O_C,220.0,31.66,nan,nan,nan
sp|A2AFS9|TX13A_MOUSE,5YVG_X,0.088,52.54,nan,nan,nan
sp|A2AGH6|MED12_MOUSE,7KPX_C,1.1e-38,387.55,154.51,104.42,133.29
sp|A2AH22|AMRA1_MOUSE,6RXU_UA,8.6e-08,99.13,84.83,5.61,84.65
sp|A2AHG0|LZTS3_MOUSE,7DL2_D,0.0012,75.2,nan,nan,nan
sp|A2AI08|TPRN_MOUSE,5MMM_E,46.0,34.9,nan,nan,nan
sp|A2AIV2|VIR_MOUSE,6X9O_A,0.018,78.93,nan,nan,nan
sp|A2AJ76|HMCN2_MOUSE,3DMK_A,2.6e-46,414.08,219.91,46.64,215.49
sp|A2AJA7|AEGP_MOUSE,2V5Y_A,9.9e-12,121.48,99.62,16.15,98.35
sp|A2AJB2|TM141_MOUSE,2LOR_A,2.1e-39,219.24,219.24,0.00,219.24
sp|A2AJI0|MA7D1_MOUSE,6UZ7_1,1.1,51.82,nan,nan,nan
sp|A2AJK6|CHD7_MOUSE,7TN2_W,2.1e-132,1185.57,210.15,153.43,179.56
sp|A2AJX4|MALR1_MOUSE,3M0C_C,1.4e-15,170.9,116.46,29.12,112.96
sp|A2AKE7|ACL10_MOUSE,6HTS_H,1.6e-29,239.56,160.87,49.58,150.96
sp|A2AKG8|FOCAD_MOUSE,5Y81_A,1100.0,34.22,nan,nan,nan
sp|A2AKK5|ACNT1_MOUSE,3HLK_B,3.3e-61,419.85,75.91,41.64,72.31
sp|A2AKX3|SETX_MOUSE,6I59_A,1.6e-64,562.54,212.01,120.99,187.09
sp|A2AKY4|Z804A_MOUSE,6YLG_I,0.52,48.87,nan,nan,nan
sp|A2AM05|CNTLN_MOUSE,6SO3_B,0.0019,79.25,nan,nan,nan
sp|A2AM29|AF9_MOUSE,2LM0_A,3.4e-29,205.49,169.38,23.09,167.75
sp|A2AMT1|BFSP1_MOUSE,7DL2_D,0.0064,69.24,nan,nan,nan
sp|A2AN08|UBR4_MOUSE,5VMD_C,2.9e-10,108.37,108.37,0.00,108.37
sp|A2ANU3|SYNG1_MOUSE,6ND0_D,170.0,28.65,nan,nan,nan
sp|A2APB8|TPX2_MOUSE,6BJC_P,4.5e-129,1019.54,237.04,350.07,122.20
sp|A2APC3|TTLL9_MOUSE,4YLS_A,2.3e-48,352.67,299.59,35.07,297.64
sp|A2AR50|RGPS1_MOUSE,4F7Z_A,1.1e-33,285.13,225.64,35.91,222.21
sp|A2ARM1|PATL2_MOUSE,2XES_B,1.3e-22,177.27,157.52,9.93,157.23
sp|A2ARP1|VIP1_MOUSE,4NZN_A,3.9e-24,195.63,109.72,30.18,106.53
sp|A2ARZ3|FSIP2_MOUSE,6LTJ_I,330.0,41.25,nan,nan,nan
sp|A2AS55|ANR16_MOUSE,5VKQ_C,1.8e-32,265.56,166.95,38.18,162.67
sp|A2ASQ1|AGRIN_MOUSE,3QCW_A,4.7e-31,283.11,132.29,61.89,119.50
sp|A2ASZ8|SCMC2_MOUSE,6GCI_A,1.4e-36,251.15,71.62,27.99,68.83
sp|A2AT37|RENT2_MOUSE,4CEM_B,5.2e-69,539.54,185.74,152.48,140.22
sp|A2ATU0|DHTK1_MOUSE,5RW1_B,1.6e-129,1016.36,223.00,280.84,148.43
sp|A2AWA9|RBGP1_MOUSE,4NC6_A,1.2e-40,291.46,159.92,71.72,140.88
sp|A2AWR3|LYCHS_MOUSE,7PE9_I,1.8e-08,95.2,83.61,12.40,82.62
sp|A2AWT3|AT7L3_MOUSE,2KKT_A,4.6e-25,167.66,129.93,37.52,122.90
sp|A2BDX3|MOCS3_MOUSE,6YUB_A,1.5e-38,272.58,168.24,33.57,164.33
sp|A2BE28|LAS1L_MOUSE,6OF3_A,3.7e-24,217.91,217.91,0.00,217.91
sp|A2BGH0|BPIB4_MOUSE,4M4D_B,5.7e-28,216.5,176.71,44.96,170.08
sp|A2CG49|KALRN_MOUSE,6YGN_A,1.1e-34,291.12,193.05,17.70,192.31
sp|A2RSY1|KANL3_MOUSE,2I3D_B,1e-05,68.18,66.15,0.00,66.15
sp|A2RT91|ANKAR_MOUSE,6SA8_A,2.6e-25,210.86,108.95,32.36,104.64
sp|A2TJV2|PALM3_MOUSE,5IJN_Y,750.0,30.25,nan,nan,nan
sp|A2VDH3|LRC38_MOUSE,3WN4_A,3.7e-16,130.47,79.02,15.06,77.67
sp|A3KGB4|TBC8B_MOUSE,5HJQ_A,6.5e-25,203.9,166.97,34.68,161.98
sp|A3KGF7|PLCB2_MOUSE,4GNK_D,3.3e-164,1360.66,553.74,390.70,385.84
sp|A3KGS3|RGPA2_MOUSE,7DL2_A,1.4e-28,300.81,280.46,12.60,280.19
sp|A3KMP2|TTC38_MOUSE,6YJ6_A,0.02,60.01,nan,nan,nan
sp|A4Q9E8|TTLL6_MOUSE,6VZU_D,2.6e-91,663.18,354.85,155.15,327.00
sp|A4Q9F0|TTLL7_MOUSE,4YLS_A,7.8e-88,655.59,353.25,165.78,322.42
sp|A4Q9F4|TTL11_MOUSE,4YLS_A,1.2e-42,331.9,234.48,59.60,227.71
sp|A4Q9F6|TTL13_MOUSE,4YLS_A,5.6e-77,572.17,346.58,145.26,320.90
sp|A6H5X4|PHF11_MOUSE,4NN2_B,2.2e-09,71.74,66.07,3.58,65.98
sp|A6H5Y3|METH_MOUSE,4CCZ_A,3.6e-85,678.22,198.74,127.57,172.13
sp|A6H666|COX8C_MOUSE,2Y69_Z,1.5e-06,53.81,51.66,2.13,51.62
sp|A6H684|MGT4E_MOUSE,6EMK_I,23.0,41.75,nan,nan,nan
sp|A6H6A9|RBG1L_MOUSE,3HZJ_C,2.2e-43,296.74,182.04,61.54,167.36
sp|A6H8H2|DEN4C_MOUSE,6EKK_B,2.9e-35,295.92,214.75,80.97,198.59
sp|A6PWY4|WDR76_MOUSE,6ID1_q,5e-13,117.93,83.77,8.72,83.34
sp|A6X942|SH24B_MOUSE,6BK5_A,4.3e-07,86.34,73.12,6.36,72.85
sp|A7DTG3|SRTD4_MOUSE,6ZBE_A,61.0,36.61,nan,nan,nan
sp|A7E1Z1|TM215_MOUSE,7Q21_h,11.0,33.05,nan,nan,nan
sp|A7KBS4|ZSC4D_MOUSE,6QNX_C,1.3e-13,140.64,72.10,20.48,69.36
sp|A7M7C7|SKOR2_MOUSE,1MR1_C,1e-20,162.78,150.09,7.82,149.89
sp|A7XV04|SKIT7_MOUSE,4F9L_B,1.5e-16,106.68,64.35,6.07,64.10
sp|A8VU90|ANKL1_MOUSE,7PTX_A,4.5e-08,102.35,69.89,10.16,69.18
sp|A8Y5H7|S14L1_MOUSE,4UYB_A,1.7e-42,307.26,168.23,44.21,161.90
sp|A9JSM3|TM238_MOUSE,7AJQ_E,7.1,31.52,nan,nan,nan
sp|B1AQJ2|UBP36_MOUSE,6TBM_Q,1.2e-41,328.59,253.31,29.04,251.61
sp|B1AQL3|TM235_MOUSE,7RZ5_A,7e-14,116.07,90.63,12.72,89.79
sp|B1ARD8|SLFN8_MOUSE,7PPJ_A,1.2e-147,1161.01,168.72,206.23,123.77
sp|B1ARI9|PRR29_MOUSE,3SR7_D,240.0,23.29,nan,nan,nan
sp|B1AUH1|PTPRU_MOUSE,6J6U_A,2.4e-67,511.62,176.58,114.32,144.66
sp|B1AVH7|TBD2A_MOUSE,4P17_B,1.2e-34,249.83,195.54,21.74,194.38
sp|B1AVZ0|UPP_MOUSE,1JLR_A,2.3e-27,184.18,157.88,14.65,157.20
sp|B1AWJ5|TMM8B_MOUSE,6YXH_A,0.00082,59.31,nan,nan,nan
sp|B1AXD8|AKIR2_MOUSE,7NHT_d,3.6e-60,376.05,376.05,0.00,376.05
sp|B1AXP6|TOM5_MOUSE,7CK6_I,5.4e-30,144.6,144.60,0.00,144.60
sp|B2KF05|BRPF3_MOUSE,7D87_A,9.9e-26,193.27,82.19,30.93,77.74
sp|B2KG20|KLRI1_MOUSE,6C5V_C,2.4e-08,71.9,52.35,5.13,52.12
sp|B2RPV6|MMRN1_MOUSE,5KCA_A,2.3e-06,89.89,82.50,7.40,82.16
sp|B2RQA1|KCA10_MOUSE,7EJ1_D,1.8e-68,490.69,125.56,69.40,113.33
sp|B2RQC2|UBP42_MOUSE,6TBM_Q,3.5e-42,338.76,257.75,30.49,255.86
sp|B2RQE8|RHG42_MOUSE,5C5B_A,5e-22,168.2,121.11,22.02,118.97
sp|B2RQL2|STOX1_MOUSE,6SGB_DI,75.0,37.37,nan,nan,nan
sp|B2RRE7|OTUD4_MOUSE,6W9O_A,1e-14,134.27,108.14,11.19,107.58
sp|B2RS91|RRN3_MOUSE,7OBA_O,2e-127,970.82,779.04,110.73,771.91
sp|B2RTN2|IGS23_MOUSE,5A2F_A,0.00025,56.03,nan,nan,nan
sp|B2RUP2|UN13D_MOUSE,7T7C_H,1.2e-79,655.2,299.15,195.67,224.35
sp|B2RUR4|KPRP_MOUSE,6ODM_B,2000.0,31.36,nan,nan,nan
sp|B2RUR8|OTU7B_MOUSE,5LRW_C,1.6e-78,582.14,524.72,33.71,523.65
sp|B2RV46|SPA6L_MOUSE,4E5X_H,120.0,27.28,nan,nan,nan
sp|B2RX88|CSPP1_MOUSE,7AS4_L,3.1,53.05,nan,nan,nan
sp|B2RXA7|CP26C_MOUSE,2VE3_B,5.6e-48,309.09,258.72,22.54,257.74
sp|B2RXB0|GAR1A_MOUSE,6RUI_D,210.0,25.38,nan,nan,nan
sp|B2RXE2|SL9A5_MOUSE,7DSX_A,3.1e-57,439.64,179.19,97.45,155.32
sp|B2RXM4|NTM1B_MOUSE,6DUB_B,3.6e-23,144.67,67.55,11.04,66.90
sp|B2RY83|HPSE2_MOUSE,5LA7_A,6.4e-30,226.95,110.18,36.52,105.51
sp|B3GLJ3|PATE3_MOUSE,6OB0_G,2.1e-05,51.89,nan,nan,nan
sp|B5X0G2|MUP17_MOUSE,1G85_A,1.2e-18,114.1,88.67,14.86,87.34
sp|B7ZCC9|AGRG4_MOUSE,7D76_R,5e-46,408.08,142.01,65.53,128.98
sp|B7ZNG4|TROAP_MOUSE,4V7O_A6,1300.0,26.87,nan,nan,nan
sp|B9EJ80|PDZD8_MOUSE,7F6J_C,2.9e-20,173.74,115.26,20.07,113.86
sp|B9EJI9|T229A_MOUSE,7JHY_i,260.0,27.12,nan,nan,nan
sp|B9EJV3|GRB1L_MOUSE,6VVO_A,4.1,47.89,nan,nan,nan
sp|B9EJX3|SMIP1_MOUSE,6C14_C,37.0,28.48,nan,nan,nan
sp|B9EK06|EXC1L_MOUSE,5M4Y_D,1.3e-12,107.23,105.78,1.04,105.77
sp|B9EKR1|PTPRZ_MOUSE,6J6U_A,3.2e-91,711.55,253.60,95.39,235.07
sp|C0HK80|ARXS2_MOUSE,7P2P_B,5.3e-38,247.86,247.86,0.00,247.86
sp|C0HKE8|H2A1O_MOUSE,7N8N_D,9.2e-23,149.29,86.36,24.97,82.92
sp|C0HKG5|RNT2A_MOUSE,3T0O_A,1e-41,271.42,197.78,28.99,195.62
sp|D0QMC3|MNDAL_MOUSE,5Z7D_B,5.6e-44,334.23,259.68,73.41,242.96
sp|D2EAC2|ZBED6_MOUSE,2BW3_A,2.5e-30,223.43,223.43,0.00,223.43
sp|D2J0Y4|CJ090_MOUSE,7EGG_D,790.0,31.37,nan,nan,nan
sp|D3YUG0|SAM13_MOUSE,7CM7_B,0.44,37.71,nan,nan,nan
sp|D3YUJ3|CCYL1_MOUSE,4KRD_B,2e-16,129.97,128.58,0.80,128.58
sp|D3YVE8|S35G2_MOUSE,6UKJ_A,8e-14,117.57,112.46,4.46,112.37
sp|D3YVL2|CFA70_MOUSE,7QE7_J,1.8e-09,118.87,88.48,12.64,87.58
sp|D3YWP0|EFMT3_MOUSE,4QPN_A,7.2e-26,156.69,64.77,13.23,63.81
sp|D3YX43|VSI10_MOUSE,3QS7_F,2.8e-20,152.74,103.04,24.86,100.08
sp|D3YXJ0|DGKH_MOUSE,1R79_A,7.3e-20,143.73,93.49,15.50,92.38
sp|D3YYI7|RN217_MOUSE,4KBL_A,3.9e-23,195.04,145.03,44.47,136.53
sp|D3YYM4|WDR72_MOUSE,7MQA_LR,4.3e-15,144.11,88.01,16.48,86.64
sp|D3YZI9|PGBD5_MOUSE,6X68_C,2.1e-34,260.94,260.94,0.00,260.94
sp|D3YZU1|SHAN1_MOUSE,5G4X_A,2.4e-35,266.64,124.18,25.75,121.45
sp|D3YZV8|CCDC8_MOUSE,5B52_B,6.3,32.97,nan,nan,nan
sp|D3Z0R2|PPR36_MOUSE,7DVQ_8,200.0,34.0,nan,nan,nan
sp|D3Z1D3|CEFIP_MOUSE,3MZL_B,190.0,31.57,nan,nan,nan
sp|D3Z4S3|PTRD1_MOUSE,1XTY_B,1.2e-15,99.01,94.08,4.74,93.96
sp|D3Z5T1|CCD78_MOUSE,7VOP_f,10.0,41.46,nan,nan,nan
sp|D3Z690|IZUM4_MOUSE,5JK9_D,1.4e-06,67.17,67.17,0.00,67.17
sp|D3Z6Q9|BIN2_MOUSE,4AVM_A,7.9e-23,158.52,109.01,31.43,104.55
sp|D3Z750|MRO2A_MOUSE,7DCO_1,0.0072,67.62,nan,nan,nan
sp|D3Z7A5|DAW1_MOUSE,5MZH_B,2.3e-57,350.91,224.04,20.85,223.17
sp|D3Z7H8|CILP2_MOUSE,7A5O_D,3.2e-05,86.6,69.00,1.52,68.98
sp|D3Z7P3|GLSK_MOUSE,5WJ6_B,3.6e-133,999.94,187.34,274.81,99.71
sp|E0CYC6|NAT8B_MOUSE,5U08_A,2.3e-12,85.99,66.84,4.07,66.71
sp|E2JF22|PIEZ1_MOUSE,6B3R_E,0.0,3869.0,1707.20,1511.64,985.36
sp|E5FYH1|TOPZ1_MOUSE,6YXY_Ao,41.0,45.54,nan,nan,nan
sp|E9PUQ8|DGKD_MOUSE,1R79_A,1.4e-18,136.71,91.74,15.89,90.51
sp|E9PV24|FIBA_MOUSE,3GHG_J,2.5e-108,854.54,257.29,142.78,229.34
sp|E9PV82|FA53A_MOUSE,7RRO_n,670.0,25.12,nan,nan,nan
sp|E9PXB6|SFTA2_MOUSE,3DAD_A,150.0,21.53,nan,nan,nan
sp|E9PXV9|OBOX2_MOUSE,4GFB_A,200.0,24.33,nan,nan,nan
sp|E9PYH6|SET1A_MOUSE,6VEN_N,2.3e-47,394.42,124.52,50.38,117.00
sp|E9PZM4|CHD2_MOUSE,7NKX_W,3.3e-176,1525.89,206.16,176.76,171.59
sp|E9Q0C6|K1210_MOUSE,6J4Z_W,140.0,38.91,nan,nan,nan
sp|E9Q0N2|PTPRH_MOUSE,3PS5_A,8.1e-48,366.14,166.14,93.89,140.29
sp|E9Q1P8|I2BP2_MOUSE,2CS3_A,4.6e-39,266.5,266.50,0.00,266.50
sp|E9Q309|CE350_MOUSE,6ZNL_Z,1.1e-06,110.83,98.26,8.90,97.87
sp|E9Q394|AKP13_MOUSE,4D0N_B,2.5e-31,253.51,151.74,40.64,146.15
sp|E9Q3G8|NU153_MOUSE,6LK8_T,7.6e-26,277.59,117.41,77.65,99.59
sp|E9Q3S4|M3K19_MOUSE,5NCL_A,1.7e-35,292.83,235.02,13.47,234.64
sp|E9Q414|APOB_MOUSE,1LSH_A,1.8e-62,594.18,438.59,110.02,426.06
sp|E9Q4J9|AGRF2_MOUSE,7D76_R,6.8e-24,200.39,111.80,19.55,110.25
sp|E9Q5G3|KIF23_MOUSE,5MIO_C,5.7e-46,360.88,276.68,42.32,273.00
sp|E9Q5K4|CP2CN_MOUSE,6VLT_F,7.5e-68,420.62,287.74,42.89,284.74
sp|E9Q649|GCNT4_MOUSE,2GAK_B,2.6e-62,437.64,341.97,95.54,328.35
sp|E9Q6C8|XKR6_MOUSE,7DCE_X,8.3e-64,475.57,454.89,20.67,454.42
sp|E9Q6D6|ZN277_MOUSE,6LSR_0,6.5e-19,173.53,136.81,34.57,130.83
sp|E9Q6E9|SIMC1_MOUSE,7NRC_A,130.0,38.7,nan,nan,nan
sp|E9Q6Z5|AUNIP_MOUSE,3CQX_D,270.0,23.57,nan,nan,nan
sp|E9Q793|JHY_MOUSE,6U42_6R,700.0,24.4,nan,nan,nan
sp|E9Q7F2|RN169_MOUSE,5VEY_C,5.2e-07,73.38,73.38,0.00,73.38
sp|E9Q7G0|NUMA1_MOUSE,6HC2_N,5.4e-19,161.54,137.70,18.62,136.24
sp|E9Q7X6|HEG1_MOUSE,5B4X_B,1.7e-07,97.71,83.70,6.51,83.46
sp|E9Q7X7|NRX2A_MOUSE,3QCW_A,2.3e-98,785.16,191.75,166.00,150.07
sp|E9Q8D0|DJC21_MOUSE,5DJE_B,5.3e-23,170.68,81.23,20.25,79.34
sp|E9Q8G5|ZFOI1_MOUSE,6QNX_C,7.3e-38,323.66,99.01,47.78,89.71
sp|E9Q8T2|PRD15_MOUSE,6QNX_C,1.1e-38,347.32,94.42,42.21,87.55
sp|E9Q9F7|CC146_MOUSE,5TBY_A,0.054,64.18,nan,nan,nan
sp|E9Q9H8|T4S19_MOUSE,6VJA_D,0.27,39.39,nan,nan,nan
sp|E9Q9M8|PWP2B_MOUSE,6PA7_P,1.3e-10,114.56,74.33,15.96,72.73
sp|E9Q9W4|S27A6_MOUSE,5T3D_A,6.3e-36,289.24,208.52,40.92,203.53
sp|E9QAM5|HELZ2_MOUSE,2WJY_A,3.5e-54,494.97,242.14,115.23,214.68
sp|E9QAT4|SC16A_MOUSE,3MZK_C,5.9e-42,367.19,284.07,65.01,276.66
sp|F2YMG0|PRS56_MOUSE,2B9L_A,5.4e-33,247.08,175.45,47.71,167.10
sp|F2Z3Y9|SIM30_MOUSE,6WVG_B,13.0,26.48,nan,nan,nan
sp|F6QRE9|ERIC3_MOUSE,3H5A_C,61.0,32.98,nan,nan,nan
sp|F6ULY1|WFC6B_MOUSE,5H7V_A,3.2e-09,81.15,42.85,11.90,41.61
sp|F6YCR7|RHX13_MOUSE,2H8R_A,1.3e-06,70.55,65.83,5.66,65.57
sp|F7BWT7|TSN15_MOUSE,6WVG_B,3.1e-22,171.19,119.88,42.19,111.68
sp|F8VPK0|SKI3_MOUSE,7QDR_B,2e-216,1781.2,139.31,138.29,126.49
sp|F8VPZ5|ERCC6_MOUSE,7OO3_b,9.4e-296,2544.76,198.24,176.65,167.63
sp|G3X8U3|QNG1_MOUSE,6MSP_A,17.0,31.63,nan,nan,nan
sp|G3X9K3|BIG1_MOUSE,5HAS_B,1.1e-52,436.76,287.45,39.95,285.09
sp|G3X9P6|OBOX5_MOUSE,6T90_K,0.0013,64.15,nan,nan,nan
sp|G3X9X1|KBTB2_MOUSE,6WCQ_C,1e-42,311.9,105.57,36.38,101.15
sp|G3X9Z4|PCF11_MOUSE,2NAX_A,6.8e-14,122.21,90.58,12.90,89.75
sp|G3XA59|LRC32_MOUSE,6GFF_I,2.5e-60,414.83,160.52,44.89,155.03
sp|G5E870|TRIPC_MOUSE,7MOP_A,1.3e-30,339.95,176.58,75.20,157.80
sp|G5E872|RNPL1_MOUSE,6O5H_C,4.8e-72,518.74,285.07,102.44,271.24
sp|G5E8I7|U17LC_MOUSE,6TBM_Q,5e-43,313.02,243.65,26.22,242.21
sp|G5E8K6|MOT6_MOUSE,7CKO_A,5.5e-28,197.71,135.60,18.28,134.40
sp|G5E8P0|GCP6_MOUSE,7AS4_L,4e-244,2140.74,633.64,681.67,436.74
sp|G5E8Q8|AGRF5_MOUSE,7D76_R,3.4e-31,269.51,100.48,36.71,95.23
sp|H3BJG9|LY6L_MOUSE,1LSI_A,1.3e-08,60.37,54.68,3.52,54.57
sp|J3KML8|GFY_MOUSE,6C13_A,0.086,48.2,nan,nan,nan
sp|J3QMI4|CAHM3_MOUSE,7DSD_B,2.9e-75,518.05,345.90,90.15,335.39
sp|J3QPP8|ALKL1_MOUSE,7LS0_B,8.8e-33,216.59,201.63,7.72,201.49
sp|J3S6Y1|TSEAR_MOUSE,5Y31_B,3.9e-21,174.67,104.75,41.07,98.11
sp|K7N6K2|TR34B_MOUSE,4CFG_B,1.3e-32,231.33,110.73,49.37,101.36
sp|O08529|CAN2_MOUSE,3BOW_A,2e-127,915.51,158.21,192.08,106.16
sp|O08537|ESR2_MOUSE,7KW7_F,4.6e-39,324.47,122.19,49.75,112.77
sp|O08540|MSMB_MOUSE,6IMF_B,3.1e-18,109.81,103.84,5.33,103.70
sp|O08543|EFNA5_MOUSE,4BK5_C,3.3e-30,199.95,166.40,23.25,164.77
sp|O08581|KCNK1_MOUSE,7SK1_B,1.5e-46,296.92,184.74,36.72,181.80
sp|O08583|THOC4_MOUSE,2F3J_A,1.9e-22,142.59,64.10,17.03,62.39
sp|O08585|CLCA_MOUSE,6WCJ_B,5.3e-60,387.01,242.24,112.06,213.10
sp|O08599|STXB1_MOUSE,4JEU_A,1.1e-86,621.02,481.33,98.40,466.16
sp|O08605|MKNK1_MOUSE,2HW7_A,7.7e-54,320.12,199.51,17.41,198.80
sp|O08674|RBPJL_MOUSE,3IAG_C,1.1e-104,758.49,736.77,22.58,736.42
sp|O08675|PAR3_MOUSE,3VW7_A,2e-29,211.79,163.28,24.86,160.79
sp|O08705|NTCP_MOUSE,4N7W_B,1.2e-25,186.14,178.42,8.33,178.22
sp|O08709|PRDX6_MOUSE,3TB2_D,5.8e-46,267.91,94.65,49.70,86.36
sp|O08715|AKAP1_MOUSE,4B9X_A,1.3e-12,109.5,94.53,10.53,93.92
sp|O08742|GPV_MOUSE,4G8A_B,1.6e-26,199.63,142.75,24.98,140.60
sp|O08749|DLDH_MOUSE,5U8U_B,1.9e-98,678.22,203.36,123.47,172.93
sp|O08759|UBE3A_MOUSE,7MOP_A,5.5e-48,465.68,265.16,105.56,236.39
sp|O08760|OGG1_MOUSE,2XHI_A,1.7e-56,385.13,130.42,74.17,116.47
sp|O08762|NETR_MOUSE,2XRC_C,1.6e-46,338.12,167.72,52.76,157.47
sp|O08788|DCTN1_MOUSE,6ZNL_Z,6.3e-154,1278.78,158.53,282.31,96.79
sp|O08800|SPB8_MOUSE,1JMO_A,3e-56,396.97,326.87,28.87,325.49
sp|O08808|DIAP1_MOUSE,3O4X_F,9.7e-72,553.8,251.69,126.95,219.74
sp|O08811|ERCC2_MOUSE,7O4J_0,6.9e-129,942.72,220.24,250.29,141.11
sp|O08832|GALT4_MOUSE,6H0B_B,7.3e-113,779.44,173.52,166.60,132.27
sp|O08850|RGS5_MOUSE,1AGR_E,1.5e-37,222.0,119.05,32.19,115.71
sp|O08856|ELL_MOUSE,7OKY_M,2.4e-89,677.83,250.80,201.57,203.19
sp|O08901|BUB1_MOUSE,6TLJ_S,1e-66,561.68,95.47,33.24,93.35
sp|O08914|FAAH1_MOUSE,3PPM_A,9e-101,713.18,378.18,72.58,373.05
sp|O08934|UNC4_MOUSE,6YOV_K,3.3e-07,94.03,68.76,10.75,67.98
sp|O08967|CYH3_MOUSE,6U3G_A,7.5e-101,659.45,113.85,115.71,83.25
sp|O08969|PHLA2_MOUSE,4Y93_A,1.2,33.71,nan,nan,nan
sp|O08976|PBAS_MOUSE,1A3Y_A,2e-10,73.84,60.65,4.35,60.50
sp|O08983|HPS1_MOUSE,7QLA_A,8.8,42.21,nan,nan,nan
sp|O09000|NCOA3_MOUSE,2PRG_C,9.3e-14,126.45,90.41,13.96,89.40
